RBR,Naziv,Autor,Autor komentara,Autor dodataka,Urednik,Prevoditelj,Ilustrator,Naslov,Godina izdavanja,Tiskar,Mjesto tiskanja,Ustanova,Mjesto,,
71,"NIMIRA, MARTINUS DE    ","NIMIRA, MARTINUS DE",,,,,,Sermo de passione Domini.,1494,"Silber, Eucharius",Rim,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
70,NIKOLA MODRUŠKI,NIKOLA MODRUŠKI,,,,,,Oratio in funere Reverendissimi domini D. Petri Cardinalis sancti Sixti habita a revere[n]do patre d[omi]no Nicolao ep[isco]po Modrusien[si],1484,"Guldinbeck, Bartholomaeus",Rim,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
69,NIKOLA MODRUŠKI,NIKOLA MODRUŠKI,,,,,,Oratio in funere Petri cardinalis s. Sixti habita.,1481,"Plannck, Stephan",Rim,Zbirka Baltazara Bogišića,Cavtat,,
68,NIKOLA MODRUŠKI,NIKOLA MODRUŠKI,,,,,,Oratio in funere Petri cardinalis s. Sixti habita.,1474,"Gensberg, Johannes",Rim,Zbirka Baltazara Bogišića,Cavtat,,
67,"NIGER, FRANJO    ","NIGER, FRANJO  ",,,,,,Modus epistolandi.,1495,"Bevilacqua, Simone",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
66,"NIGER, FRANJO    ","NIGER, FRANJO  ",,,,,,Modus epistolandi.,1492,"Capcasa, Matteo",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
65,"MARCHESINUS, JOHANNES    ","MARCHESINUS, JOHANNES",,,,,,Mammotrectus super Bibliam.,1482,"Paltašiæ, Andrija
Scotus, Octavianus",Venecija,"Zbirka Baltazara Bogišića
Franjevački samostan sv. Bernardina Sijenskog","Cavtat
Kampor",,
64,"MACROBIUS, AURELIUS THEODOSIUS    ","MACROBIUS, AURELIUS THEODOSIUS",,,,,,In somnium Scipionis expositio. Saturnalia.,1485,"Dobriæeviæ, Dobriæ",Brescia,"Zbirka Baltazara Bogišića
Opatska knjižnica
Metropolitanska knjižnica
Metropolitanska knjižnica","Cavtat
Korèula
Zagreb
Zagreb",,
63,LUDOVICUS A TURRI DE VERONA,LUDOVICUS A TURRI DE VERONA,,,,,,De immaculata conceptione B.V. Mariae,1486,"Dobriæeviæ, Dobriæ",Brescia,"Zbirka Baltazara Bogišića
Franjevački samostan Gospe od milosti","Cavtat
Hvar",,
62,"LACTANTIUS, LUCIUS CAECILIUS FIRMIANUS    ","LACTANTIUS, LUCIUS CAECILIUS FIRMIANUS",,,,,,Opera,1478,"Paltašiæ, Andrija
Dobriæeviæ, Dobriæ",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića
Znanstvena knjižnica Sveučilišta u Zadru","Zagreb
Cavtat
Zadar",,
